source_id,title,creator,organization,year,url,source_type,evidence_level,evidence_status,regions_supported,claims_supported,accessed_at,notes
G01,"Learning Outcomes in Communication","LOC faculty group","National Communication Association",2015,"https://www.natcom.org/sites/default/files/publications/LOC_1_What_Should_a_Graduate_with_a_Communication_Degree.pdf",normative_framework,A-primary,partial,"1|4|5|6|8","传播学本科毕业生的九项学习成果；学科、理论、研究、信息创作、批判分析、伦理、差异与公共话语",2026-09-11,"官方纪念页面已核；PDF需保存本地文本证据"
G02,"Subject Benchmark Statement: Communication Media Film and Cultural Studies","QAA advisory group","Quality Assurance Agency for Higher Education",2024,"https://www.qaa.ac.uk/docs/qaa/sbs/sbs-communication-media-film-and-cultural-studies-24.pdf?sfvrsn=c401b481_4",normative_framework,A-primary,verified,"1|2|3|5|6|7|8","学科多样性、超越西方经典、技术非中立、权力与表征、研究方法、伦理、可及性和可持续性",2026-09-11,"已打开32页PDF并核对范围与方法段落"
G03,"ICA 2026 Divisions and Interest Groups","International Communication Association","International Communication Association",2026,"https://www.icahdq.org/mpage/ICA26-calls-for-papers",discipline_taxonomy,A-primary,partial,"1|2|3|4|5|6|7|8","当前活跃研究单元，用于覆盖检查而非本科必修清单",2026-09-11,"须保存研究单元名称快照；避免与International Council on Archives混淆"
G04,"Sections and Working Groups","IAMCR","International Association for Media and Communication Research",2026,"https://iamcr.org/s-wg",discipline_taxonomy,A-primary,verified,"2|3|4|5|6|7|8","受众、政治经济、国际传播、参与式传播、性别、数字鸿沟、乡村传播与全球政策",2026-09-11,"组织分类会变化，需版本化"
G05,"Communication BA 2026-27 Catalog","University of Pennsylvania","University of Pennsylvania",2026,"https://catalog.upenn.edu/undergraduate/programs/communication-ba/communication-ba.pdf",curriculum_current,A-primary,partial,"2|3|4|5|7|8","系统制度过程效果；传播与文化、产业、消费与效果、数据科学及多种方法",2026-09-11,"大学正式培养方案"
G06,"Major in Communication","Stanford Communication","Stanford University",2026,"https://comm.stanford.edu/major",curriculum_current,A-primary,partial,"3|4|5|6|7|8","传播过程与效果、系统与制度、研究方法、统计、算法政治和AI治理",2026-09-11,"当前课程可能按学年调整"
G07,"Bachelor's Global Communication Science: Study Programme","Communication Science","University of Amsterdam",2026,"https://www.uva.nl/en/programmes/bachelors/communication-science/study-programme/study-programme.html?menu=english",curriculum_current,A-primary,partial,"3|4|5|7|8","连续方法训练、全球比较、算法AI、隐私、虚假信息、健康与可持续性",2026-09-11,"大学正式课程页面"
G08,"Undergraduate Course List","Communications and New Media","National University of Singapore",2026,"https://fass.nus.edu.sg/cnm/undergraduate-course-list/",curriculum_current,A-primary,partial,"1|2|3|4|5|6|7|8","亚洲语境下理论、符号学、效果、CMC、方法、算法治理和AI中介传播",2026-09-11,"页面提醒课程并非每年均开；coming soon须单独标记"
G09,"Undergraduate Courses","Centre for Film and Media Studies","University of Cape Town",2026,"https://humanities.uct.ac.za/cfms/undergraduate-studies/undergraduate-courses",curriculum_current,A-primary,partial,"2|3|5|6|8","媒体与社会、权力与文化、南非媒体、非洲位置、符号学与霸权",2026-09-11,"用于非西方位置样本，不代表整个非洲课程体系"
G10,"Public Relations Bachelor of Communication","University of Queensland","University of Queensland",2026,"https://study.uq.edu.au/study-options/programs/bachelor-communication-2507/public-relations-pubrec2507?year=2026",curriculum_current,A-primary,partial,"5|8","公共关系、组织议题、危机、利益相关者、伦理与社会责任",2026-09-11,"应用方向样本"
