priority,name_zh,coverage_role,verification_state,discovery_or_profile_source,primary_profile_url,next_check,proposed_learning_links
P1,张隆栋,传播学早期引介与学科史,已有机构学科史线索待核原作,中国人民大学传播学专业介绍,https://jcr.ruc.edu.cn/jxxm/ss/ss_zyjxmjs/10cfe10387b649c8a0fdd75c1a9c22b4.htm,核1950年代引介文章及《大众传播学总论》版本,传播学在中国大陆的再引进与学科化|传播学史
P1,张国良,传播学组织化教材与效果研究,已有高校人物页,上海交通大学智能传播研究院,https://ici.sjtu.edu.cn/news/show-501.html,核中国传播学会组织记录及代表作具体章节,传播学在中国大陆的再引进与学科化|媒介效果
P1,邵培仁,早期教材传播学本土化与媒介研究,已有高校人物页与教育奖记录,浙江传媒学院新闻传播研究院,https://rijc.cuz.edu.cn/info/1029/1521.htm,核《传播学原理与应用》初版及本人承担章节,传播学在中国大陆的再引进与学科化|媒介理论
P1,童兵,新闻传播理论教材与学科建设,已有辞典编纂与教育奖记录,新闻传播百科与范敬宜新闻教育奖,https://www.zgbk.com/ecph/sublibrary?ID=557&SiteID=1,补高校档案与代表性原作定位,马克思主义新闻观|新闻学
P1,陈力丹,新闻理论传播思想与学科史,已核高校研究中心人物页,中国人民大学马克思主义新闻观研究中心,https://myzx.ruc.edu.cn/zjtd/818e1d9ab5ba4b3fa8e7aaed8396d37c.htm,核代表作章节及其适用边界,马克思主义新闻观|传播思想史
P1,单波,跨文化传播与中国传播学反思,已核高校人物页,武汉大学新闻与传播学院,https://journal.whu.edu.cn/intro/faculty/shanb,核代表作原文和跨文化传播核心命题,跨文化传播|去殖民传播
P1,潘忠党,框架公共讨论与中国媒介研究,已核高校人物页及教育经历,威斯康星大学麦迪逊分校传播艺术系,https://commarts.wisc.edu/staff/pan-zhongdang/,核最适合本科入口的代表作及中文译名,框架理论|公共领域
P1,祝建华,定量方法新媒体与计算社会科学,已核高校学者页,City University of Hong Kong Scholars,https://scholars.cityu.edu.hk/en/persons/enjhzhu/,核教育经历原始记录及方法论代表作,调查研究|计算传播
P1,刘海龙,传播思想史政治传播与理论教育,已核高校人物页,中国人民大学新闻学院,https://jcr.ruc.edu.cn/jszy/899fd1e5eb5e4de2aee3cd9fb8c1fc0d.htm,核原作章节并控制当代人物篇幅,传播理论|政治传播|传播学史
P2,程曼丽,世界新闻史国际传播与教育,已有出版社成果库与教育奖记录,中国传媒教育学者成果库,https://cmff.ctft.net/scholar_homepage/1/Catalog/Details/8656,交叉核对当前任职与代表作具体章节,国际传播|新闻传播史
P2,郭镇之,广播电视史国际传播与理论译介,已核高校人物页,清华大学新闻与传播学院,https://www.tsjc.tsinghua.edu.cn/info/1032/2050.htm,核代表作与译介贡献的直接出处,媒介史|国际传播|议题设置
P2,胡正荣,媒介制度广播电视与媒介管理,已有机构人物页但需更新时态,中国传媒大学继续教育教师页,https://px.mdedu.cuc.edu.cn/Teachers/View/37/,以2026机构页核当前身份并定位代表作,媒介制度|媒介融合|传播学在中国
P2,李彬,传播理论新闻传播史与教育,已有高校名录与教育奖记录,清华大学新闻与传播学院,https://www.tsjc.tsinghua.edu.cn/xysz/jxkyjs/2.htm,打开个人页并核《传播学引论》等书目章节,传播理论|新闻传播史
P2,卜卫,媒介素养发展传播与性别,只有专业出版社数据库线索待补一手机构页,社会科学文献出版社社会学研究数据库,https://sociology.ssap.com.cn/skwx_shx/AuthorDetail.aspx?authorID=19792,补中国社科院或现任机构原始页及代表作,媒介素养|发展传播|数字不平等
P2,黄旦,媒介史媒介理论与新闻传播学术史,仅有学科史发现线索,待定位高校人物页,,核身份页面与代表作原文后再决定是否首版收录,媒介史|媒介理论
P2,陈昌凤,数字新闻智能传播与新闻教育,已有高校教师名录待开个人页,清华大学新闻与传播学院教师名录,https://www.tsjc.tsinghua.edu.cn/xysz/jxkyjs.htm,核个人页代表作与适合首版的核心贡献,智能传播|数字新闻
