source_id,title,creator,organization,year,url,source_type,evidence_level,evidence_status,regions_supported,claims_supported,accessed_at,notes
G16,"Encoding and Decoding in the Television Discourse","Stuart Hall","Centre for Contemporary Cultural Studies, University of Birmingham",1973,"https://epapers.bham.ac.uk/id/eprint/2962/",primary_scholarship,A-primary,partial,"2|4|6","作者、年份、机构和原文档案；命题需逐页定位",2026-09-11,"伯明翰大学机构仓储已核；17MB PDF 本轮超时"
G17,"The Agenda-Setting Function of Mass Media","Maxwell E. McCombs and Donald L. Shaw","Public Opinion Quarterly; Oxford University Press",1972,"https://doi.org/10.1086/267990",primary_scholarship,A-primary,partial,"4|5","作者、研究语境与摘要中的议题显著性命题；样本数、页码和表格待全文核验",2026-09-11,"出版者页面已核摘要；不代表后续扩展"
G18,"The Gate Keeper: A Case Study in the Selection of News","David Manning White","Journalism Quarterly; SAGE",1950,"https://doi.org/10.1177/107769905002700403",primary_scholarship,A-primary,verified,"1|3|5","电讯稿选用与拒绝的七日个案、编辑理由分析及出版信息",2026-09-11,"不能单独支持 Lewin 的概念来源"
G19,"The Structural Transformation of the Public Sphere: An Inquiry into a Category of Bourgeois Society","Jürgen Habermas","The MIT Press",1991,"https://mitpress.mit.edu/9780262581080/the-structural-transformation-of-the-public-sphere/",primary_scholarship,A-primary,partial,"5|6","英译本书目、作者与公共意见的历史社会学研究范围",2026-09-11,"具体定义和批评需原文与二手学术文献"
G20,"Content Analysis: An Introduction to Its Methodology, Fourth Edition","Klaus Krippendorff","SAGE Publications",2018,"https://uk.sagepub.com/en-gb/afr/content-analysis/book258450",primary_scholarship,A-primary,partial,"2|4|8","内容分析的当代方法论范围、文本与传播语境",2026-09-11,"出版社书目已核；实施细节需页码定位"
G21,"Stuart Hall","University of Birmingham","University of Birmingham",2014,"https://www.birmingham.ac.uk/research/perspective/stuart-hall-hilton-and-connell",official_record,A-primary,verified,"2|6","霍尔在 CCCS 的身份、文化研究关联及编码解码线索",2026-09-11,"适合履历与机构关系；理论命题以 G16 为主"
G22,"Frontiers in Group Dynamics II: Channels of Group Life; Social Planning and Action Research","Kurt Lewin","Human Relations; SAGE",1947,"https://doi.org/10.1177/001872674700100201",primary_scholarship,A-primary,partial,"1|5","渠道、门和守门人的一般社会生活概念来源",2026-09-11,"只支持概念前史，不是成熟新闻把关理论"
G23,"The Public Sphere: An Encyclopedia Article (1964)","Jürgen Habermas","New German Critique",1974,"https://doi.org/10.2307/487737",primary_scholarship,A-primary,partial,"5|6","公共领域的简明定义、公众讨论及其制度条件",2026-09-11,"须在可访问正文中定位具体段落"
G24,"Cultural Studies: Two Paradigms","Stuart Hall","Media, Culture & Society; SAGE",1980,"https://doi.org/10.1177/016344378000200106",primary_scholarship,A-primary,partial,"2|6","文化主义与结构主义两条思想路线及其张力",2026-09-11,"不支持 Hall 单独创立整个文化研究学科"
G25,"Content Analysis in Mass Communication: Assessment and Reporting of Intercoder Reliability","Matthew Lombard; Jennifer Snyder-Duch; Cheryl Campanella Bracken","Human Communication Research",2002,"https://doi.org/10.1111/j.1468-2958.2002.tb00826.x",primary_scholarship,A-primary,partial,"8","编码者间一致性的评估与报告是内容分析质量控制要求",2026-09-11,"不支持所有研究都必须使用同一系数或阈值"
C17,"构建新时代中国新闻传播学","胡正荣","全国哲学社会科学工作办公室",2020,"https://www.nopss.gov.cn/n1/2020/0221/c219470-31598110.html",discipline_history,A-primary,verified,"1|5|6|8","改革开放后中国传播学发展、1982 年座谈会与十六字方针",2026-09-11,"仍应继续寻找 1982 年会议原始记录"
C18,"实践中的马克思主义新闻观案例教材出版","新华社","中华人民共和国教育部",2015,"https://www.moe.gov.cn/jyb_xwfb/s5147/201501/t20150104_182648.html",official_record,A-primary,partial,"5|6|8","中宣部、教育部组织编写案例教材及其教学用途",2026-09-11,"官方搜索摘要已核；页面打开异常"
C19,"马克思主义新闻观十二讲","本书编写组","高等教育出版社",2019,"https://xuanshu.hep.com.cn/front/h5Mobile/bookDetails?bookId=5b745f70f18f967ee7f375c8",teaching_resource,B-synthesis,partial,"5|6|7|8","图书简介与目录所列的新闻真实、权利责任、法治道德、新技术与国际传播等教学范围",2026-09-11,"已核出版社简介及目录，非全书正文；具体概念须用原著或可定位正文"
C20,"方汉奇：新闻研究应该始终坚持历史唯物主义","中国人民大学新闻网","中国人民大学",2017,"https://news.ruc.edu.cn/703146243790278.html",official_record,A-primary,verified,"5|6|8","方汉奇教学履历、学术职务、代表作与学术评价",2026-09-11,"学术地位宜再用独立评价交叉"
