node_id,name_zh,name_original,type,subtype,primary_area,secondary_areas,temporal_profile,controversy_status,record_level,evidence_status,source_leads,editorial_note
r1-communication-world,传播建构社会世界,Communication constructs social worlds,concept,meta,communication,meaning|power_culture,relatively_stable,not_assessed,candidate,direct,G01|G02,作为学科入口命题，不写成单一理论
r1-process,传播过程与基本要素,Communication process and elements,concept,"",communication,effects|research_application,relatively_stable,not_assessed,candidate,interpretive,G11|G12|C03|C14,包含传播者、信息、媒介、受众与情境
r1-feedback-noise,反馈与噪音,Feedback and noise,concept,"",communication,digital_ai,relatively_stable,not_assessed,candidate,pending,G12,需补信息论原典及其进入人类传播研究的历史
r1-interpersonal,人际传播,Interpersonal communication,research_topic,field,communication,meaning|effects|institutions,relatively_stable,not_assessed,candidate,direct,G03|G08|G12|C08|C11,领域节点
r1-group,群体传播,Group communication,research_topic,field,communication,effects|institutions,relatively_stable,not_assessed,candidate,direct,G02|C14,需与组织传播区分
r1-organizational,组织传播,Organizational communication,research_topic,field,communication,institutions|research_application,relatively_stable,not_assessed,candidate,direct,G03|G04|G08|G12|C08,跨区应用
r1-mass,大众传播,Mass communication,research_topic,field,communication,media_society|effects|institutions,relatively_stable,not_assessed,candidate,direct,G03|G11|C14,不作为全部传播学的同义词
r1-cmc,计算机中介传播,Computer-mediated communication,research_topic,field,communication,digital_ai,relatively_stable,not_assessed,candidate,direct,G08,需补经典文献
r1-china-introduction,传播学在中国大陆的再引进与学科化,Reintroduction and institutionalization of communication studies in mainland China,research_topic,history,communication,power_culture|research_application,evolving,not_assessed,candidate,direct,C16|C17,学术史节点；改名以避免“改革开放前中国没有传播研究”的错误暗示；1982 年会议的具体名称、参会者与原始文件仍待补一手档案。
r2-semiotics,符号学,Semiotics,tradition,"",meaning,power_culture|research_application,relatively_stable,not_assessed,candidate,direct,G08|G09|C12,需区分索绪尔与皮尔斯传统
r2-representation,表征,Representation,concept,"",meaning,power_culture,relatively_stable,not_assessed,candidate,direct,G02|G08,需补权威定义与Hall相关原典
r2-encoding-decoding,编码与解码,Encoding and decoding,theory_model,theory,meaning,effects|power_culture,relatively_stable,not_assessed,candidate,pending,G02|G11,需补Hall原典与受众位置
r2-discourse,话语,Discourse,concept,"",meaning,institutions|power_culture|research_application,relatively_stable,not_assessed,candidate,direct,G04|G13,不能把不同话语理论合并为单一学说
r2-framing,框架与框架化,Framing and frame analysis,theory_model,theory,meaning,effects|institutions,relatively_stable,not_assessed,candidate,pending,G08|C08,需区分社会学框架分析、新闻框架与框架效果
r2-visual,视觉与多模态传播,Visual and multimodal communication,research_topic,field,meaning,power_culture|research_application,relatively_stable,not_assessed,candidate,direct,G03|G04|C08,包含视觉分析但不等同于方法节点
r2-rhetoric,修辞与说服,Rhetoric and persuasion,tradition,"",meaning,effects|institutions,relatively_stable,not_assessed,candidate,direct,G12|C08,修辞传统与经验说服研究需区分
r2-huaxia,华夏传播,Huaxia communication,tradition,"",meaning,power_culture,evolving,contested,candidate,pending,C16,本土探索；展示争议与成熟度限制；原始稳定性为 forming：表示该条目仍处于形成中的本土/学术探索，需保留成熟度限制并持续核验。
r3-medium-theory,媒介理论,Medium theory,tradition,"",media_society,digital_ai,relatively_stable,not_assessed,candidate,pending,G11|C08,需区分Innis、McLuhan等理论
