id,source_type,title,authors_or_organization,year,publisher_or_venue,doi,url,language,accessed_at,access_status,bibliographic_note
G01,normative_framework,Learning Outcomes in Communication,LOC faculty group|National Communication Association,2015,National Communication Association,,https://www.natcom.org/sites/default/files/publications/LOC_1_What_Should_a_Graduate_with_a_Communication_Degree.pdf,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=传播学本科毕业生的九项学习成果；学科、理论、研究、信息创作、批判分析、伦理、差异与公共话语；原 notes=官方纪念页面已核；PDF需保存本地文本证据
G02,normative_framework,Subject Benchmark Statement: Communication Media Film and Cultural Studies,QAA advisory group|Quality Assurance Agency for Higher Education,2024,Quality Assurance Agency for Higher Education,,https://www.qaa.ac.uk/docs/qaa/sbs/sbs-communication-media-film-and-cultural-studies-24.pdf?sfvrsn=c401b481_4,en,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=学科多样性、超越西方经典、技术非中立、权力与表征、研究方法、伦理、可及性和可持续性；原 notes=已打开32页PDF并核对范围与方法段落
G03,discipline_taxonomy,ICA 2026 Divisions and Interest Groups,International Communication Association|International Communication Association,2026,International Communication Association,,https://www.icahdq.org/mpage/ICA26-calls-for-papers,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=当前活跃研究单元，用于覆盖检查而非本科必修清单；原 notes=须保存研究单元名称快照；避免与International Council on Archives混淆
G04,discipline_taxonomy,Sections and Working Groups,IAMCR|International Association for Media and Communication Research,2026,International Association for Media and Communication Research,,https://iamcr.org/s-wg,en,2026-09-11,full_text,原 source-register 字段：evidence_level=A-primary；evidence_status=verified；claims_supported=受众、政治经济、国际传播、参与式传播、性别、数字鸿沟、乡村传播与全球政策；原 notes=组织分类会变化，需版本化
G05,curriculum_current,Communication BA 2026-27 Catalog,University of Pennsylvania|University of Pennsylvania,2026,University of Pennsylvania,,https://catalog.upenn.edu/undergraduate/programs/communication-ba/communication-ba.pdf,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=系统制度过程效果；传播与文化、产业、消费与效果、数据科学及多种方法；原 notes=大学正式培养方案
G06,curriculum_current,Major in Communication,Stanford Communication|Stanford University,2026,Stanford University,,https://comm.stanford.edu/major,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=传播过程与效果、系统与制度、研究方法、统计、算法政治和AI治理；原 notes=当前课程可能按学年调整
G07,curriculum_current,Bachelor's Global Communication Science: Study Programme,Communication Science|University of Amsterdam,2026,University of Amsterdam,,https://www.uva.nl/en/programmes/bachelors/communication-science/study-programme/study-programme.html?menu=english,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=连续方法训练、全球比较、算法AI、隐私、虚假信息、健康与可持续性；原 notes=大学正式课程页面
G08,curriculum_current,Undergraduate Course List,Communications and New Media|National University of Singapore,2026,National University of Singapore,,https://fass.nus.edu.sg/cnm/undergraduate-course-list/,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=亚洲语境下理论、符号学、效果、CMC、方法、算法治理和AI中介传播；原 notes=页面提醒课程并非每年均开；coming soon须单独标记
G09,curriculum_current,Undergraduate Courses,Centre for Film and Media Studies|University of Cape Town,2026,University of Cape Town,,https://humanities.uct.ac.za/cfms/undergraduate-studies/undergraduate-courses,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=媒体与社会、权力与文化、南非媒体、非洲位置、符号学与霸权；原 notes=用于非西方位置样本，不代表整个非洲课程体系
G10,curriculum_current,Public Relations Bachelor of Communication,University of Queensland|University of Queensland,2026,University of Queensland,,https://study.uq.edu.au/study-options/programs/bachelor-communication-2507/public-relations-pubrec2507?year=2026,en,2026-09-11,metadata,原 source-register 字段：evidence_level=A-primary；evidence_status=partial；claims_supported=公共关系、组织议题、危机、利益相关者、伦理与社会责任；原 notes=应用方向样本
